Wind ID,Duration,latitude,longitude,Nearest town,State,Source,Max Gust speed,Max Gust direction,Max Mean Wind speed,Max Mean Wind direction,Path length,Path width,Path direction,Fujita scale,acq_date,acq_time,region
1411,0,-32.898,151.735,Mayfield,NSW,SPOTTER,50,0,0,0,0,0,0,0,2006-11-22,06:00:00,New South Wales
1412,0,-29.74,151.74,Glen Innes,NSW,AWS,49,110,0,0,0,0,0,0,2006-11-27,07:51:00,New South Wales
1413,150,-30.382,152.885,gleniffer,NSW,SPOTTER,49,45,0,0,0,0,0,0,2006-11-27,08:00:00,New South Wales
1414,0,-32.665,150.185,Nullo Mountain,NSW,AWS,55,240,0,0,0,0,0,0,2006-11-28,03:42:00,New South Wales
1415,30,-32.265,150.885,MUSWELLBROOK,NSW,SPOTTER,59,0,0,0,0,0,0,0,2006-11-28,04:30:00,New South Wales
1416,40,-32.92,151.79,Newcastle,NSW,MEDIA,0,0,0,0,0,0,0,0,2006-11-28,04:40:00,New South Wales
1417,0,-32.81,151.35,Cessnock,NSW,AWS,51,260,0,0,0,0,0,0,2006-11-28,04:58:00,New South Wales
1418,0,-30.315,153.118,Coffs Harbour,NSW,AWS,50,220,0,0,0,0,0,0,2006-11-28,08:20:00,New South Wales
1419,40,-30.265,153.135,Korora,NSW,SPOTTER,59,180,0,0,0,0,0,0,2006-11-28,08:20:00,New South Wales
1420,0,-30.52,151.67,Armidale,NSW,AWS,57,300,0,0,0,0,0,0,2006-11-28,10:20:00,New South Wales
1421,0,-29.68,152.93,Grafton,NSW,AWS,53,160,0,0,0,0,0,0,2006-11-29,06:51:00,New South Wales
1422,0,-29.115,153.435,Evans Head,NSW,AWS,51,180,0,0,0,0,0,0,2006-11-29,08:00:00,New South Wales
1423,0,-31.68,145.48,Cobar,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-12-11,07:30:00,New South Wales
1424,40,-30.74,151.53,Uralla,NSW,SPOTTER,0,0,0,0,0,0,0,0,2006-12-12,04:30:00,New South Wales
1425,40,-30.441,151.353,Yarrowyck,NSW,SPOTTER,0,360,0,0,0,0,0,0,2006-12-12,04:30:00,New South Wales
1426,0,-30.52,151.67,Armidale,NSW,"SPOTTERS, MEDIA, SES",0,0,0,0,0,0,0,0,2006-12-21,04:30:00,New South Wales
1427,0,-31.45,142.13,Broken Hill,NSW,AWS,54,290,0,0,0,0,0,0,2006-12-22,05:19:00,New South Wales
1428,0,-31.45,142.13,Broken Hill,NSW,SES,0,0,0,0,0,0,0,0,2006-12-31,19:00:00,New South Wales
1429,0,-30.8,149.55,Coonabarabran,NSW,AWS,67,250,0,0,0,0,0,0,2007-01-12,02:41:00,New South Wales
1430,30,-31.43,147.27,Nyngan,NSW,"SES, MEDIA",0,0,0,0,0,0,0,0,2007-01-15,08:45:00,New South Wales
1431,0,-35.25,147.34,Wagga Wagga,NSW,SES,0,0,0,0,0,0,0,0,2007-01-16,07:10:00,New South Wales
1432,0,-32.12,147.62,Trangie,NSW,AWS,55,360,0,0,0,0,0,0,2007-01-16,07:14:00,New South Wales
1433,0,-33.43,149.56,Bathurst,NSW,AWS,56,10,0,0,0,0,0,0,2007-01-18,05:37:00,New South Wales
1434,0,-31.89,152.55,Taree,NSW,AWS,48,180,0,0,0,0,0,0,2007-01-27,04:58:00,New South Wales
1435,30,-31.71,148.67,gilgandra,NSW,SPOTTER,48,315,0,0,0,0,0,0,2007-02-07,05:15:00,New South Wales
1436,35,-32.05,150.87,scone,NSW,SPOTTER,54,225,0,0,0,0,0,0,2007-02-07,07:15:00,New South Wales
1437,0,-32.05,150.85,Scone,NSW,AWS,54,240,0,0,0,0,0,0,2007-02-07,07:18:00,New South Wales
1438,0,-32.05,150.85,Scone,NSW,AWS,59,240,0,0,0,0,0,0,2007-02-07,07:20:00,New South Wales
1439,0,-32.05,150.85,Scone,NSW,AWS,61,230,0,0,0,0,0,0,2007-02-07,07:27:00,New South Wales
1440,0,-32.97,151.7,kahibah,NSW,SPOTTER,51,225,0,0,0,0,0,0,2007-02-07,09:14:00,New South Wales
1441,0,-33.75,150.68,Penrith,NSW,AWS,54,240,0,0,0,0,0,0,2007-02-24,04:52:00,New South Wales
1442,0,-33.75,150.68,Penrith,NSW,AWS,56,200,0,0,0,0,0,0,2007-02-24,04:55:00,New South Wales
1443,0,-30.82,148.23,Coonamble,NSW,AWS,53,190,0,0,0,0,0,0,2007-02-26,04:14:00,New South Wales
1444,0,-32.21,148.57,Dubbo,NSW,AWS,55,350,0,0,0,0,0,0,2007-02-28,03:24:00,New South Wales
1445,20,-32.965,151.701,Kahibah,NSW,SPOTTER,48,235,0,0,0,0,0,0,2007-02-28,06:30:00,New South Wales
1446,20,-33.715,151.285,Narrabeen,NSW,SPOTTER,54,0,0,0,0,0,0,0,2007-02-28,07:00:00,New South Wales
1447,30,-29.68,152.93,Grafton,NSW,SPOTTER,0,0,0,0,0,0,0,0,2007-02-28,07:30:00,New South Wales
1448,0,-30.99,150.26,Gunnedah,NSW,SPOTTER,62,0,0,0,0,0,0,0,2007-03-01,03:15:00,New South Wales
1449,0,-33.87,150.64,Wallacia,NSW,MEDIA,0,0,0,0,0,0,0,0,2007-03-01,08:00:00,New South Wales
1450,90,-34.082,150.501,Oakdale,NSW,SPOTTER,54,250,0,0,0,0,0,0,2007-03-04,11:00:00,New South Wales
1451,0,-34.03,150.65,Camden,NSW,AWS,59,250,0,0,0,0,0,0,2007-03-05,05:43:00,New South Wales
1452,10,-33.71,151.08,Hornsby,NSW,MEDIA/SES,0,0,0,0,0,0,0,0,2007-03-05,06:30:00,New South Wales
1453,0,-33.282,151.568,Norah Head,NSW,AWS,79,160,0,0,0,0,0,0,2007-03-05,08:13:00,New South Wales
1454,0,-34.55,150.37,Moss Vale,NSW,AWS,55,230,0,0,0,0,0,0,2007-03-08,04:22:00,New South Wales
1455,0,-34.411,150.893,North Wollongong,NSW,BUREAU STAFF,0,0,0,0,0,0,0,0,2007-03-08,05:00:00,New South Wales
1456,30,-29.68,152.93,Grafton,NSW,SPOTTER,50,0,0,0,0,0,0,0,2007-04-20,06:10:00,New South Wales
1457,13,-31.74,150.79,Murrurundi,NSW,AWS,48,310,0,0,0,0,0,0,2007-09-14,03:47:00,New South Wales
1458,8,-31.7416,150.7937,Murrurundi,NSW,AWS,50,300,0,0,0,0,0,0,2007-09-14,06:55:00,New South Wales
1459,10,-30.43,152.9,Bellingen,NSW,SPOTTER,49,90,0,0,0,0,0,0,2007-10-08,00:30:00,New South Wales
1460,10,-30.42,152.03,THORA,NSW,SPOTTER,0,0,0,0,0,0,0,0,2007-10-08,01:25:00,New South Wales
1461,20,-29.72,151.75,Glen Innes,NSW,SPOTTER,49,0,0,0,0,0,0,0,2007-10-08,03:40:00,New South Wales
1462,20,-28.8,153.32,Goonellabah,NSW,SPOTTER,49,90,0,0,0,0,0,0,2007-10-08,06:30:00,New South Wales
1463,25,-28.8,153.28,Lismore,NSW,SPOTTER,54,180,0,0,0,0,0,0,2007-10-09,03:35:00,New South Wales
1464,15,-28.8,153.28,Lismore,NSW,SPOTTER,0,0,0,0,0,0,0,0,2007-10-09,04:00:00,New South Wales
1465,20,-30.03,149.77,Narrabri west,NSW,AWS,53,0,0,0,0,0,0,0,2007-10-11,09:20:00,New South Wales
1466,20,-30.35,149.77,Narrabri,NSW,SPOTTER,61,0,0,0,0,0,0,0,2007-10-11,09:20:00,New South Wales
1467,30,-32.9,151.7,New Lambton,NSW,SPOTTER,54,0,0,0,0,0,0,0,2007-10-26,07:30:00,New South Wales
1468,26,-34.23,146.07,Griffith,NSW,AWS,50,10,0,0,0,0,0,0,2007-11-18,06:04:00,New South Wales
1469,20,-34.63,148.03,Cootamundra,NSW,SPOTTER,54,40,0,0,0,0,0,0,2007-11-29,01:10:00,New South Wales
1470,20,-35.83,145.77,Berrigan,NSW,SPOTTER,0,0,0,0,0,0,0,0,2007-12-03,02:00:00,New South Wales
1471,30,-32.95,151.7,Kahibah,NSW,SPOTTER,50,340,0,0,0,0,0,0,2007-12-03,04:30:00,New South Wales
1472,12,-32.92,151.78,Newcastle,NSW,AWS,48,300,0,0,0,0,0,0,2007-12-03,04:37:00,New South Wales
1473,10,-29.49,149.84,Moree,NSW,AWS,50,260,0,0,0,0,0,0,2007-12-06,07:10:00,New South Wales
1474,11,-33.13,148.24,Parkes,NSW,AWS,55,310,0,0,0,0,0,0,2007-12-07,03:02:00,New South Wales
1475,30,-31.08,150.92,Tamworth,NSW,SES,0,0,0,0,0,0,0,0,2007-12-07,07:20:00,New South Wales
1476,0,-33.81,150.95,Blacktown,NSW,SPOTTER,49,0,0,0,0,0,0,0,2007-12-09,04:35:00,New South Wales
1477,18,-32.95,151.7,Kahibah,NSW,SPOTTER,49,160,0,0,0,0,0,0,2007-12-09,07:27:00,New South Wales
1478,10,-33.16,151.41,Mandalong,NSW,SPOTTER,0,180,0,0,0,0,0,0,2007-12-09,07:30:00,New South Wales
1479,3,-32.92,151.8,Newcastle,NSW,AWS,48,190,0,0,0,0,0,0,2007-12-09,08:00:00,New South Wales
1480,3,-30.98,148.38,Coonamble,NSW,AWS,50,180,0,0,0,0,0,0,2007-12-16,06:47:00,New South Wales
1481,11,-35.56,144.95,Deniliquin,NSW,AWS,59,180,0,0,0,0,0,0,2007-12-20,06:47:00,New South Wales
1482,40,-31.98,141.47,Broken Hill,NSW,SPOTTER,65,270,0,0,0,0,0,0,2007-12-21,04:30:00,New South Wales
1483,29,-31.98,141.47,Broken Hill,NSW,SPOTTER,69,0,0,0,0,0,0,0,2007-12-21,04:31:00,New South Wales
1484,18,-32.0,141.47,Broken Hill,NSW,AWS,65,300,0,0,0,0,0,0,2007-12-21,04:52:00,New South Wales
1485,13,-31.52,143.34,Wilcannia,NSW,AWS,56,330,0,0,0,0,0,0,2007-12-21,05:20:00,New South Wales
1486,20,-31.09,141.7,Fowlers Gap,NSW,AWS,51,270,0,0,0,0,0,0,2007-12-21,05:30:00,New South Wales
1487,14,-32.88,144.31,Ivanhoe,NSW,AWS,54,250,0,0,0,0,0,0,2007-12-21,05:44:00,New South Wales
1488,10,-33.36,147.92,Forbes,NSW,AWS,52,260,0,0,0,0,0,0,2007-12-21,10:21:00,New South Wales
1489,13,-31.09,141.7,Fowlers Gap,NSW,AWS,49,330,0,0,0,0,0,0,2007-12-21,13:19:00,New South Wales
1490,11,-35.56,144.95,Deniliquin,NSW,AWS,49,250,0,0,0,0,0,0,2008-01-11,05:12:00,New South Wales
1491,20,-34.63,149.97,Brayton,NSW,SPOTTER,0,0,0,0,0,0,0,0,2008-01-12,08:50:00,New South Wales
1492,7,-33.72,150.68,Penrith,NSW,AWS,55,110,0,0,0,0,0,0,2008-01-13,04:28:00,New South Wales
1493,0,-34.07,150.57,The Oaks,NSW,SPOTTER,0,0,0,0,0,0,0,0,2008-01-13,05:25:00,New South Wales
1494,30,-33.77,150.79,St Marys,NSW,SPOTTER,54,0,0,0,0,0,0,0,2008-01-16,05:00:00,New South Wales
1495,10,-31.33,149.27,Coonabarabran,NSW,AWS,50,70,0,0,0,0,0,0,2008-01-29,06:41:00,New South Wales
1496,15,-33.92,150.98,Bankstown,NSW,SPOTTER,0,200,0,0,0,0,0,0,2008-01-31,07:00:00,New South Wales
1497,14,-33.98,150.93,Holsworthy,NSW,AWS,52,180,0,0,0,0,0,0,2008-01-31,07:18:00,New South Wales
1498,0,-33.7,150.92,Kellyville ridge,NSW,SPOTTER,0,0,0,0,0,0,0,0,2008-01-31,08:00:00,New South Wales
1499,30,-33.73,150.87,Quakers hill,NSW,SPOTTER,49,0,0,0,0,0,0,0,2008-01-31,08:10:00,New South Wales
1500,10,-31.07,150.84,Tamworth,NSW,AWS,50,170,0,0,0,0,0,0,2008-01-31,09:09:00,New South Wales
1501,0,-32.92,151.79,Newcastle,NSW,AWS,52,350,0,0,0,0,0,0,2008-02-07,04:26:00,New South Wales
1502,30,-34.07,150.57,The Oaks,NSW,SPOTTER,0,0,0,0,0,0,0,0,2008-02-26,04:50:00,New South Wales
1503,0,-33.12,151.42,Mandalong,NSW,SPOTTER,49,225,0,0,0,0,0,0,2008-03-07,12:00:00,New South Wales
1504,9,-34.65,150.86,Kiama,NSW,AWS,49,240,0,0,0,0,0,0,2008-03-20,08:01:00,New South Wales
1505,30,-30.07,153.2,Mullaway,NSW,MEDIA/SES,0,0,0,0,0,0,0,0,2008-03-27,06:00:00,New South Wales
1506,30,-30.63,152.98,Nambucca Heads,NSW,MEDIA/SES,0,0,0,0,0,0,0,0,2008-03-28,03:30:00,New South Wales
1507,19,-34.14,151.12,Wattamolla,NSW,AWS,53,160,0,0,0,0,0,0,2008-04-13,08:10:00,New South Wales
1508,13,-33.07,147.21,Condobolin,NSW,AWS,55,310,0,0,0,0,0,0,2008-04-27,04:35:00,New South Wales
1509,15,-33.36,147.92,Forbes,NSW,AWS,49,310,0,0,0,0,0,0,2008-04-27,05:25:00,New South Wales
1510,5,-28.835,153.559,Ballina,NSW,AWS,51,260,0,0,0,0,0,0,2008-08-22,05:56:00,New South Wales
1511,10,-34.705,146.514,Narrandera,NSW,AWS,50,10,0,0,0,0,0,0,2008-09-13,07:21:00,New South Wales
1512,17,-36.492,148.286,Thredbo Village,NSW,AWS,67,360,0,0,0,0,0,0,2008-09-13,22:16:00,New South Wales
1513,18,-35.529,148.772,Mount Ginini,NSW,AWS,51,360,0,0,0,0,0,0,2008-09-13,23:12:00,Australian Capital Territory
1514,14,-35.937,148.378,Cabramurra,NSW,AWS,56,300,0,0,0,0,0,0,2008-09-14,00:01:00,New South Wales
1515,13,-35.529,148.772,Mount Ginini,NSW,AWS,53,360,0,0,0,0,0,0,2008-09-14,00:16:00,Australian Capital Territory
1516,2,-33.619,150.274,Mount Boyce,NSW,AWS,50,270,0,0,0,0,0,0,2008-09-14,06:19:00,New South Wales
1517,0,-29.049,152.02,Tenterfield,NSW,SPOTTER,0,0,0,0,0,0,0,0,2008-09-21,03:40:00,New South Wales
1518,33,-31.087,141.702,Fowlers Gap,NSW,AWS,62,330,0,0,0,0,0,0,2008-09-21,20:36:00,New South Wales
1519,17,-32.0,141.47,Broken Hill,NSW,AWS,53,350,0,0,0,0,0,0,2008-09-21,22:56:00,New South Wales
1520,85,-34.541,144.835,Hay,NSW,AWS,56,330,0,0,0,0,0,0,2008-09-22,01:54:00,New South Wales
1521,84,-34.519,144.855,Hay,NSW,SES,0,0,0,0,0,0,0,0,2008-09-22,01:55:00,New South Wales
1522,5,-32.0,141.469,Broken Hill,NSW,AWS,63,290,0,0,0,0,0,0,2008-09-22,04:39:00,New South Wales
1523,14,-34.809,149.731,Goulburn,NSW,AWS,54,310,0,0,0,0,0,0,2008-09-22,06:27:00,New South Wales
1524,28,-29.445,142.057,Tibooburra,NSW,AWS,60,300,0,0,0,0,0,0,2008-09-22,06:32:00,South Australia
1525,15,-30.852,143.074,White Cliffs,NSW,AWS,58,300,0,0,0,0,0,0,2008-10-03,06:11:00,New South Wales
1526,14,-33.938,147.196,West Wyalong,NSW,AWS,49,310,0,0,0,0,0,0,2008-10-03,06:50:00,New South Wales
1527,1,-30.082,145.951,Bourke,NSW,SES,0,0,0,0,0,0,0,0,2008-10-04,05:15:00,New South Wales
1528,60,-33.8985,150.9346,Cabramatta,NSW,AWS,45,0,0,0,0,0,0,0,2008-10-06,04:00:00,New South Wales
1529,0,-33.5318,149.2512,Blayney,NSW,SPOTTER,0,0,0,0,0,0,0,0,2008-10-10,05:00:00,New South Wales
1530,0,-36.2519,150.2275,YMNI,NSW,AWS,58,0,0,0,0,0,0,0,2008-10-13,06:03:00,New South Wales
2170,0,-36.7113,142.2027,HORSHAM,VIC,,100,0,0,0,0,0,0,0,2006-01-19,11:00:00,Victoria
2171,0,-37.4076,142.4126,MIRRANATWA,VIC,,90,0,0,0,0,0,0,0,2006-01-19,12:15:00,Victoria
2172,0,-37.7153,142.8394,LAKE BOLAC,VIC,SPOTTER,110,120,0,0,0,0,0,0,2006-01-19,12:30:00,Victoria
2173,0,-37.9543,143.3404,LISMORE,VIC,ses,90,230,0,0,0,0,0,0,2006-01-20,05:00:00,Victoria
2174,0,-36.8725,143.9631,EASTVILLE,VIC,SPOTTER,90,0,0,0,0,0,0,0,2006-01-21,08:30:00,Victoria
2175,0,-34.3051,142.188,RED CLIFFS,VIC,SPOTTER,100,0,0,0,0,0,0,0,2006-01-21,10:30:00,Victoria
2176,0,-37.7516,144.9093,ESSENDON,VIC,,100,0,0,0,0,0,0,0,2006-01-21,12:00:00,Victoria
2177,0,-37.7338,145.4499,GRUYERE,VIC,SPOTTER,100,0,0,0,0,0,0,0,2006-01-26,08:30:00,Victoria
2178,0,-37.826,145.1514,BLACKBURN,VIC,,100,0,0,0,0,0,0,0,2006-01-26,09:30:00,Victoria
2179,0,-37.8621,144.8891,WILLIAMSTOWN,VIC,SPOTTER,93,0,0,0,0,0,0,0,2006-01-27,03:15:00,Victoria
2180,0,-35.3393,143.5552,SWAN HILL,VIC,,88,0,0,0,0,0,0,0,2006-01-27,03:45:00,Victoria
2181,0,-37.6823,144.5801,MELTON,VIC,SPOTTER,90,0,0,0,0,0,0,0,2006-01-27,04:15:00,Victoria
2182,0,-38.1582,145.1351,FRANKSTON,VIC,AWS,135,270,0,0,0,0,0,0,2006-01-27,04:30:00,Victoria
2183,0,-38.1341,145.8545,DROUIN,VIC,SPOTTER,90,0,0,0,0,0,0,0,2006-01-27,05:50:00,Victoria
2184,0,-36.5516,145.98,BENALLA,VIC,SES,90,0,0,0,0,0,0,0,2006-01-27,06:15:00,Victoria
2185,0,-37.7336,148.0908,NOWA NOWA,VIC,CFA,100,0,0,0,0,0,0,0,2006-01-27,06:30:00,Victoria
2186,0,-38.3808,146.2731,BOOLARRA,VIC,CFA/media,100,0,0,0,0,0,0,0,2006-01-27,06:45:00,Victoria
2187,0,-37.86,145.3143,THE BASIN,VIC,SES,90,0,0,0,0,0,0,0,2006-01-27,10:40:00,Victoria
2188,0,-36.056,144.1148,PYRAMID HILL,VIC,SPOTTER,100,0,0,0,0,0,0,0,2006-01-29,08:30:00,Victoria
2189,30,-37.8577,141.7971,BRANXHOLME,VIC,ses,90,0,0,0,0,0,0,0,2006-02-24,22:00:00,Victoria
2190,0,-36.3593,146.3124,WANGARATTA,VIC,,90,0,0,0,0,0,0,0,2006-04-14,02:00:00,Victoria
2191,0,-37.7693,145.045,IVANHOE,VIC,SPOTTER,100,0,0,0,0,0,0,0,2006-09-23,22:00:00,Victoria
2192,0,-36.9377,145.1743,MANGALORE,VIC,SPOTTER,100,0,0,0,0,0,0,0,2006-11-02,06:40:00,Victoria
2193,0,-36.7113,142.2027,HORSHAM,VIC,SPOTTER,100,0,0,0,0,0,0,0,2006-11-20,23:45:00,Victoria
2194,0,-36.9108,146.6993,Aararat,VIC,AWS,100,0,0,0,0,0,0,0,2006-11-21,04:30:00,Victoria
2195,0,-35.3393,143.5552,SWAN HILL,VIC,AWS,104,0,0,0,0,0,0,0,2007-01-06,07:30:00,Victoria
2196,0,-37.8789,145.4169,MONBULK,VIC,SPOTTER,90,0,0,0,0,0,0,0,2007-01-16,04:30:00,Victoria
2197,0,-37.3568,144.5285,WOODEND,VIC,SPOTTER,140,330,0,0,0,0,0,0,2007-05-03,04:00:00,Victoria
2198,0,-37.2333,145.9078,EILDON,VIC,AWS,94,270,0,0,0,0,0,0,2007-05-03,06:00:00,Victoria
2199,0,-36.985,147.1473,HOTHAM HEIGHTS,VIC,AWS,139,330,0,0,0,0,0,0,2007-05-03,08:00:00,Victoria
2200,0,-37.4759,149.591,GENOA,VIC,,100,0,0,0,0,0,0,0,2007-10-16,00:00:00,New South Wales
2201,0,-36.761,144.279,BENDIGO,VIC,SPOTTER,90,0,0,0,0,0,0,0,2007-12-20,05:15:00,Victoria
2202,0,-36.3598,144.6997,ROCHESTER,VIC,SPOTTER,90,0,0,0,0,0,0,0,2007-12-20,05:40:00,Victoria
2203,0,-37.8827,145.0932,CHADSTONE,VIC,,90,0,0,0,0,0,0,0,2007-12-20,05:55:00,Victoria
2204,0,-37.0583,142.7784,STAWELL,VIC,,0,0,0,0,0,0,0,0,2007-12-21,02:00:00,Victoria
2205,0,-36.6151,145.24,MURCHISON EAST,VIC,SPOTTER,100,0,0,0,0,0,0,0,2008-01-11,03:00:00,Victoria
3407,0,-35.11,137.74,Edithburgh,SA,aws,49,340,0,0,0,0,0,0,2006-01-21,23:45:00,South Australia
3408,0,-26.26,132.18,Ernabella,SA,aws,55,140,0,0,0,0,0,0,2006-01-22,05:10:00,Northern Territory
3409,0,-35.38,140.54,Lameroo,SA,aws,58,360,0,0,0,0,0,0,2006-02-23,06:50:00,South Australia
3410,0,-34.26,135.73,Cummins,SA,,45,0,0,0,0,0,0,0,2006-03-11,19:30:00,South Australia
3411,30,-35.76,136.6,Cape Borda,SA,AWS,51,330,0,0,0,0,0,0,2006-05-06,08:00:00,South Australia
3412,30,-35.08,137.73,Edithburgh,SA,AWS,51,330,0,0,0,0,0,0,2006-05-06,10:00:00,South Australia
3413,30,-34.65,137.62,Minlaton,SA,AWS,50,270,0,0,0,0,0,0,2006-05-06,10:00:00,South Australia
3414,30,-36.03,140.58,Keith,SA,AWS,49,330,0,0,0,0,0,0,2006-05-06,12:00:00,South Australia
3415,60,-35.15,138.27,Port Willunga,SA,SES,50,280,0,0,0,0,0,0,2006-07-30,10:00:00,South Australia
3416,0,-35.84,138.13,Cape Willoughby,SA,AWS,56,350,0,0,0,0,0,0,2006-08-15,23:10:00,South Australia
3417,0,-34.65,137.62,Minlaton,SA,AWS,52,360,0,0,0,0,0,0,2006-08-16,00:10:00,South Australia
3418,0,-33.7,136.49,Cleve,SA,AWS,50,350,0,0,0,0,0,0,2006-08-16,01:00:00,South Australia
3419,0,-35.33,138.5,Sellicks Hill,SA,AWS,50,350,0,0,0,0,0,0,2006-08-16,02:05:00,South Australia
3420,0,-35.33,138.5,Sellicks Hill,SA,AWS,50,350,0,0,0,0,0,0,2006-08-16,03:00:00,South Australia
3421,0,-35.52,138.82,Hindmarsh Island,SA,AWS,51,320,0,0,0,0,0,0,2006-08-16,04:50:00,South Australia
3422,0,-35.33,138.5,Sellicks hill,SA,AWS,49,350,0,0,0,0,0,0,2006-09-21,15:35:00,South Australia
3423,0,-35.71,137.52,Kingscote ap,SA,Rainfall observer,55,270,0,0,0,0,0,0,2006-09-22,02:30:00,South Australia
3424,0,-37.29,140.82,Coonawarra,SA,AWS,49,310,0,0,0,0,0,0,2006-09-22,04:20:00,South Australia
3425,0,-36.97,139.72,Cape Jaffa,SA,AWS,55,290,0,0,0,0,0,0,2006-09-22,05:00:00,South Australia
3426,0,-36.95,140.0,Robe,SA,AWS,49,290,0,0,0,0,0,0,2006-09-22,06:45:00,South Australia
3427,0,-37.29,140.82,Coonawarra,SA,AWS,53,280,0,0,0,0,0,0,2006-09-22,07:35:00,South Australia
3428,0,-36.83,140.53,Naracoorte,SA,AWS,57,290,0,0,0,0,0,0,2006-09-22,07:50:00,South Australia
